"@timestamp",message
"Feb 22, 2023 @ 09:29:21.759","conveyorBoxMap call. auto labeller command : L,DC17,15572,2,580,385,C2115572;( S4-1 );          냉동;2;3;운송장 563310432300;1/1;1-DQ03;,"
"Feb 22, 2023 @ 09:29:21.723","conveyorBoxMap controller called. req=Req(meta=null, data=[IntfLespRecvVO(equipment_id=DC17, eqp_id=null, telegram=10, datalength=76, tote_id1=null, tote_id2=null, tote_id3=null, tote_id4=null, tote_id5=null, box_id=null, pid=15572, stop_zone_id=null, scanner_id=null, bcr_data=, dps_id=null, cell_id=null, count=null, weight=0.0, item_weight=0, item_width=0, item_length=0, item_height=0, chute1_busy=0, chute2_busy=0, destination=null, reancode=null, center_cd=CJLWNDDT10, all_message=D,DC17,10,76,15572,,0,0,0,0,0,0, sp=sp_lesp_cnv_box_mapping, out_message=null, out_rtn_cd=null, out_rtn_msg=null)])"
"Feb 22, 2023 @ 09:29:21.429","conveyorBoxMap call. auto labeller command : L,DC18,19344,2,550,350,I2119344;( S4 );       냉장+냉동;1;2;운송장 563310441175;1/1;2-DQ04;,"
"Feb 22, 2023 @ 09:29:21.393","conveyorBoxMap controller called. req=Req(meta=null, data=[IntfLespRecvVO(equipment_id=DC18, eqp_id=null, telegram=10, datalength=76, tote_id1=null, tote_id2=null, tote_id3=null, tote_id4=null, tote_id5=null, box_id=null, pid=19344, stop_zone_id=null, scanner_id=null, bcr_data=, dps_id=null, cell_id=null, count=null, weight=0.0, item_weight=0, item_width=0, item_length=0, item_height=0, chute1_busy=0, chute2_busy=0, destination=null, reancode=null, center_cd=CJLWNDDT10, all_message=D,DC18,10,76,19344,,0,0,0,0,0,0, sp=z_sp_lesp_cnv_box_mapping, out_message=null, out_rtn_cd=null, out_rtn_msg=null)])"
"Feb 22, 2023 @ 09:29:18.436","conveyorBoxMap call. auto labeller command : L,DC17,15571,2,580,385,C1815571;( S4-1 );          냉동;2;3;운송장 563310421531;1/1;1-DQ03;,"
"Feb 22, 2023 @ 09:29:18.404","conveyorBoxMap controller called. req=Req(meta=null, data=[IntfLespRecvVO(equipment_id=DC17, eqp_id=null, telegram=10, datalength=76, tote_id1=null, tote_id2=null, tote_id3=null, tote_id4=null, tote_id5=null, box_id=null, pid=15571, stop_zone_id=null, scanner_id=null, bcr_data=, dps_id=null, cell_id=null, count=null, weight=0.0, item_weight=0, item_width=0, item_length=0, item_height=0, chute1_busy=0, chute2_busy=0, destination=null, reancode=null, center_cd=CJLWNDDT10, all_message=D,DC17,10,76,15571,,0,0,0,0,0,0, sp=sp_lesp_cnv_box_mapping, out_message=null, out_rtn_cd=null, out_rtn_msg=null)])"
"Feb 22, 2023 @ 09:29:16.758","conveyorBoxMap call. auto labeller command : L,DC18,19343,2,550,350,I1619343;( S4 );       냉장+냉동;1;2;운송장 563310445493;1/1;2-DQ04;,"
"Feb 22, 2023 @ 09:29:16.732","conveyorBoxMap controller called. req=Req(meta=null, data=[IntfLespRecvVO(equipment_id=DC18, eqp_id=null, telegram=10, datalength=76, tote_id1=null, tote_id2=null, tote_id3=null, tote_id4=null, tote_id5=null, box_id=null, pid=19343, stop_zone_id=null, scanner_id=null, bcr_data=, dps_id=null, cell_id=null, count=null, weight=0.0, item_weight=0, item_width=0, item_length=0, item_height=0, chute1_busy=0, chute2_busy=0, destination=null, reancode=null, center_cd=CJLWNDDT10, all_message=D,DC18,10,76,19343,,0,0,0,0,0,0, sp=z_sp_lesp_cnv_box_mapping, out_message=null, out_rtn_cd=null, out_rtn_msg=null)])"
"Feb 22, 2023 @ 09:29:15.098","conveyorBoxMap call. auto labeller command : L,DC17,15570,2,580,385,C1515570;( S4-1 );          냉동;2;3;운송장 563310434175;1/1;1-DQ03;,"
"Feb 22, 2023 @ 09:29:15.064","conveyorBoxMap controller called. req=Req(meta=null, data=[IntfLespRecvVO(equipment_id=DC17, eqp_id=null, telegram=10, datalength=76, tote_id1=null, tote_id2=null, tote_id3=null, tote_id4=null, tote_id5=null, box_id=null, pid=15570, stop_zone_id=null, scanner_id=null, bcr_data=, dps_id=null, cell_id=null, count=null, weight=0.0, item_weight=0, item_width=0, item_length=0, item_height=0, chute1_busy=0, chute2_busy=0, destination=null, reancode=null, center_cd=CJLWNDDT10, all_message=D,DC17,10,76,15570,,0,0,0,0,0,0, sp=sp_lesp_cnv_box_mapping, out_message=null, out_rtn_cd=null, out_rtn_msg=null)])"
"Feb 22, 2023 @ 09:28:30.394","conveyorBoxMap call. auto labeller command : L,DC18,19342,2,550,350,I3019342;( S4 );       냉장+냉동;1;2;운송장 563310451384;1/1;2-DQ04;,"
"Feb 22, 2023 @ 09:28:30.356","conveyorBoxMap controller called. req=Req(meta=null, data=[IntfLespRecvVO(equipment_id=DC18, eqp_id=null, telegram=10, datalength=76, tote_id1=null, tote_id2=null, tote_id3=null, tote_id4=null, tote_id5=null, box_id=null, pid=19342, stop_zone_id=null, scanner_id=null, bcr_data=, dps_id=null, cell_id=null, count=null, weight=0.0, item_weight=0, item_width=0, item_length=0, item_height=0, chute1_busy=0, chute2_busy=0, destination=null, reancode=null, center_cd=CJLWNDDT10, all_message=D,DC18,10,76,19342,,0,0,0,0,0,0, sp=z_sp_lesp_cnv_box_mapping, out_message=null, out_rtn_cd=null, out_rtn_msg=null)])"
"Feb 22, 2023 @ 09:28:26.872","conveyorBoxMap call. auto labeller command : L,DC18,19341,2,550,350,I2619341;( S4 );       냉장+냉동;1;2;운송장 563310443706;1/1;2-DQ04;,"
"Feb 22, 2023 @ 09:28:26.846","conveyorBoxMap controller called. req=Req(meta=null, data=[IntfLespRecvVO(equipment_id=DC18, eqp_id=null, telegram=10, datalength=76, tote_id1=null, tote_id2=null, tote_id3=null, tote_id4=null, tote_id5=null, box_id=null, pid=19341, stop_zone_id=null, scanner_id=null, bcr_data=, dps_id=null, cell_id=null, count=null, weight=0.0, item_weight=0, item_width=0, item_length=0, item_height=0, chute1_busy=0, chute2_busy=0, destination=null, reancode=null, center_cd=CJLWNDDT10, all_message=D,DC18,10,76,19341,,0,0,0,0,0,0, sp=z_sp_lesp_cnv_box_mapping, out_message=null, out_rtn_cd=null, out_rtn_msg=null)])"
"Feb 22, 2023 @ 09:28:23.245","conveyorBoxMap call. auto labeller command : L,DC18,19340,2,550,350,I2319340;( S4 );       냉장+냉동;1;2;운송장 563310448260;1/1;2-DQ04;,"
